distance,mean,std_dev
266,0.795000,0.888243
267,0.830000,0.858545
268,0.803000,0.868442
269,0.905000,0.889930
270,0.832000,0.886440
271,0.843000,0.855775
272,0.808000,0.846839
273,0.869000,0.888729
274,0.800000,0.842615
275,0.803000,0.884416
276,0.786000,0.868449
277,0.840000,0.897998
278,0.798000,0.859765
279,0.802000,0.926712
280,0.777000,0.845737
281,0.873000,0.887057
282,0.783000,0.843748
283,0.808000,0.875863
284,0.780000,0.836421
285,0.793000,0.850971
286,0.780000,0.865794
287,0.825000,0.887905
288,0.799000,0.837018
289,0.803000,0.845098
290,0.779000,0.874162
291,0.766000,0.863275
292,0.803000,0.892295
293,0.746000,0.856437
294,0.748000,0.872064
295,0.778000,0.883581
296,0.767000,0.864124
297,0.735000,0.829925
298,0.772000,0.855579
299,0.739000,0.852572
300,0.711000,0.809617
301,0.765000,0.846035
302,0.722000,0.835892
303,0.719000,0.817337
304,0.809000,0.867479
305,0.746000,0.866882
306,0.740000,0.832106
307,0.736000,0.833249
308,0.749000,0.834266
309,0.755000,0.856140
310,0.748000,0.817616
311,0.737000,0.881947
312,0.731000,0.829843
313,0.712000,0.827681
314,0.719000,0.814886
315,0.762000,0.855194
316,0.732000,0.803851
317,0.694000,0.807691
318,0.747000,0.832461
319,0.700000,0.843801
320,0.720000,0.835225
321,0.668000,0.806087
322,0.672000,0.782570
323,0.686000,0.826683
324,0.732000,0.842719
325,0.688000,0.834659
326,0.716000,0.841037
327,0.746000,0.830352
328,0.688000,0.792878
329,0.685000,0.797355
330,0.731000,0.833450
331,0.718000,0.824910
332,0.684000,0.786221
333,0.671000,0.799224
334,0.718000,0.834551
335,0.692000,0.801958
336,0.644000,0.770236
337,0.632000,0.783949
338,0.710000,0.847290
339,0.627000,0.791120
340,0.699000,0.835703
341,0.663000,0.795884
342,0.675000,0.787004
343,0.660000,0.797747
344,0.687000,0.821603
345,0.669000,0.798398
346,0.710000,0.816027
347,0.642000,0.768008
348,0.640000,0.785111
349,0.733000,0.860065
350,0.695000,0.807450
351,0.601000,0.753524
352,0.611000,0.740053
353,0.676000,0.817939
354,0.698000,0.786636
355,0.641000,0.774673
356,0.628000,0.766561
357,0.632000,0.790301
358,0.613000,0.757120
359,0.632000,0.782672
360,0.621000,0.776762
361,0.658000,0.810578
362,0.603000,0.754580
363,0.628000,0.766561
364,0.584000,0.732765
365,0.610000,0.746927
366,0.657000,0.785717
367,0.602000,0.748061
368,0.637000,0.768915
369,0.634000,0.779772
370,0.612000,0.781957
371,0.605000,0.784203
372,0.598000,0.765765
373,0.627000,0.807385
374,0.593000,0.757199
375,0.619000,0.770609
376,0.621000,0.802097
377,0.615000,0.744832
378,0.591000,0.761393
379,0.634000,0.781053
380,0.624000,0.781424
381,0.605000,0.756951
382,0.604000,0.750456
383,0.576000,0.740422
384,0.584000,0.735489
385,0.619000,0.756200
386,0.543000,0.704380
387,0.600000,0.721110
388,0.573000,0.733942
389,0.593000,0.733042
390,0.588000,0.733659
391,0.570000,0.750400
392,0.563000,0.742988
393,0.589000,0.744365
394,0.574000,0.713109
395,0.581000,0.765140
396,0.589000,0.743020
397,0.574000,0.737919
398,0.585000,0.767317
399,0.556000,0.735435
400,0.545000,0.707089
401,0.576000,0.729537
402,0.577000,0.728060
403,0.560000,0.726911
404,0.576000,0.739070
405,0.546000,0.748254
406,0.550000,0.705337
407,0.570000,0.760986
408,0.554000,0.741002
409,0.578000,0.754928
410,0.563000,0.737585
411,0.509000,0.692762
412,0.524000,0.703864
413,0.576000,0.752479
414,0.549000,0.759999
415,0.545000,0.740253
416,0.559000,0.767150
417,0.546000,0.729304
418,0.600000,0.740270
419,0.519000,0.746752
420,0.492000,0.679659
421,0.523000,0.734487
422,0.493000,0.660266
423,0.534000,0.717526
424,0.560000,0.744580
425,0.570000,0.732871
426,0.572000,0.744860
427,0.541000,0.703078
428,0.524000,0.719322
429,0.489000,0.699914
430,0.548000,0.731913
431,0.515000,0.704113
432,0.555000,0.735510
433,0.540000,0.715821
434,0.549000,0.727736
435,0.534000,0.721695
436,0.499000,0.701426
437,0.511000,0.730670
438,0.539000,0.721442
439,0.516000,0.695517
440,0.492000,0.685519
441,0.515000,0.705532
442,0.512000,0.729285
443,0.486000,0.675133
444,0.454000,0.670734
445,0.502000,0.661813
446,0.521000,0.708208
447,0.467000,0.699222
448,0.503000,0.679699
449,0.465000,0.662401
450,0.555000,0.723170
451,0.544000,0.748374
452,0.497000,0.681169
453,0.482000,0.685329
454,0.522000,0.710996
455,0.467000,0.660992
456,0.505000,0.712724
457,0.502000,0.681173
458,0.480000,0.686731
459,0.482000,0.658541
460,0.492000,0.716893
461,0.453000,0.663167
462,0.478000,0.676399
463,0.463000,0.666807
464,0.495000,0.716920
465,0.508000,0.704227
466,0.484000,0.669137
467,0.447000,0.655127
468,0.512000,0.707005
469,0.485000,0.683941
470,0.504000,0.691364
471,0.452000,0.664602
472,0.516000,0.718153
473,0.489000,0.695614
474,0.481000,0.664559
475,0.472000,0.658191
476,0.454000,0.637090
477,0.501000,0.692820
478,0.479000,0.682319
479,0.461000,0.672666
480,0.476000,0.682220
481,0.476000,0.667401
482,0.478000,0.705348
483,0.457000,0.641990
484,0.464000,0.669854
485,0.476000,0.682220
486,0.497000,0.701421
487,0.473000,0.700907
488,0.471000,0.682026
489,0.460000,0.672607
490,0.458000,0.668009
491,0.485000,0.704113
492,0.478000,0.686670
493,0.460000,0.685857
494,0.431000,0.635011
495,0.455000,0.655725
496,0.466000,0.687637
497,0.452000,0.632215
498,0.457000,0.663439
499,0.446000,0.662634
500,0.458000,0.648256
501,0.460000,0.674092
502,0.458000,0.640497
503,0.451000,0.652379
504,0.453000,0.657108
505,0.469000,0.644235
506,0.428000,0.637821
507,0.435000,0.649442
508,0.435000,0.661646
509,0.450000,0.636789
510,0.438000,0.627818
511,0.422000,0.643363
512,0.447000,0.659690
513,0.419000,0.661392
514,0.428000,0.675882
515,0.449000,0.677790
516,0.429000,0.628458
517,0.434000,0.663057
518,0.440000,0.671118
519,0.440000,0.649923
520,0.440000,0.656049
521,0.455000,0.670802
522,0.443000,0.650193
523,0.430000,0.656582
524,0.414000,0.654679
525,0.424000,0.643602
526,0.444000,0.651816
527,0.417000,0.641179
528,0.443000,0.650193
529,0.399000,0.608111
530,0.470000,0.699357
531,0.446000,0.679032
532,0.404000,0.629908
533,0.442000,0.651641
534,0.390000,0.637103
535,0.404000,0.607276
536,0.437000,0.654241
537,0.414000,0.629765
538,0.436000,0.630796
539,0.408000,0.650796
540,0.432000,0.653740
541,0.394000,0.610544
542,0.405000,0.625280
543,0.420000,0.646220
544,0.409000,0.643210
545,0.412000,0.613397
546,0.427000,0.623435
547,0.416000,0.644161
548,0.386000,0.630083
549,0.434000,0.669062
550,0.438000,0.675393
551,0.418000,0.633463
552,0.423000,0.640368
553,0.409000,0.650937
554,0.391000,0.606728
555,0.423000,0.621346
556,0.399000,0.619515
557,0.419000,0.622446
558,0.377000,0.602388
559,0.381000,0.598196
560,0.426000,0.666726
561,0.390000,0.601581
562,0.404000,0.636226
563,0.421000,0.632265
564,0.414000,0.623381
565,0.410000,0.652610
566,0.408000,0.650796
567,0.410000,0.629206
568,0.413000,0.654546
569,0.357000,0.579268
570,0.417000,0.615720
571,0.383000,0.610173
572,0.387000,0.620670
573,0.384000,0.590376
574,0.435000,0.661646
575,0.379000,0.604449
576,0.415000,0.637789
577,0.380000,0.599667
578,0.387000,0.622279
579,0.427000,0.640836
580,0.398000,0.627372
581,0.413000,0.642208
582,0.380000,0.607947
583,0.424000,0.655915
584,0.381000,0.604846
585,0.372000,0.594656
586,0.379000,0.625587
587,0.379000,0.620773
588,0.371000,0.620773
589,0.395000,0.610717
590,0.349000,0.602660
591,0.406000,0.631794
592,0.375000,0.608584
593,0.409000,0.635389
594,0.404000,0.626725
595,0.387000,0.610926
596,0.396000,0.628637
597,0.422000,0.649551
598,0.399000,0.619515
599,0.381000,0.591472
600,0.397000,0.639837
601,0.395000,0.620464
602,0.395000,0.610717
603,0.344000,0.581089
604,0.398000,0.644667
605,0.393000,0.616888
606,0.364000,0.604569
607,0.378000,0.594236
608,0.377000,0.602388
609,0.348000,0.571748
610,0.375000,0.611862
611,0.391000,0.643521
612,0.374000,0.610020
613,0.353000,0.564261
614,0.400000,0.613188
615,0.367000,0.623146
616,0.372000,0.616130
617,0.376000,0.598852
618,0.379000,0.601131
619,0.367000,0.606886
620,0.368000,0.602143
621,0.379000,0.614296
622,0.351000,0.565508
623,0.386000,0.628493
624,0.372000,0.603006
625,0.344000,0.567154
626,0.370000,0.578878
627,0.350000,0.591185
628,0.363000,0.604343
629,0.399000,0.624339
630,0.371000,0.609392
631,0.351000,0.588047
632,0.374000,0.598435
633,0.363000,0.597688
634,0.364000,0.611150
635,0.356000,0.610953
636,0.371000,0.579102
637,0.365000,0.609734
638,0.389000,0.635357
639,0.349000,0.594305
640,0.349000,0.561426
641,0.360000,0.601997
642,0.339000,0.569279
643,0.332000,0.570768
644,0.355000,0.571817
645,0.332000,0.581185
646,0.385000,0.613820
647,0.367000,0.611810
648,0.333000,0.584903
649,0.358000,0.577785
650,0.358000,0.594841
651,0.373000,0.584697
652,0.339000,0.600066
653,0.348000,0.566477
654,0.341000,0.557422
655,0.336000,0.566660
656,0.342000,0.575357
657,0.324000,0.550476
658,0.350000,0.609508
659,0.363000,0.612561
660,0.340000,0.566039
661,0.343000,0.575631
662,0.359000,0.584909
663,0.338000,0.565470
664,0.350000,0.574021
665,0.359000,0.613285
666,0.319000,0.554291
667,0.334000,0.581759
668,0.342000,0.575357
669,0.337000,0.597855
670,0.320000,0.556417
671,0.330000,0.570175
672,0.340000,0.574804
673,0.338000,0.567235
674,0.354000,0.610479
675,0.343000,0.550773
676,0.327000,0.553237
677,0.319000,0.561461
678,0.332000,0.552970
679,0.337000,0.586030
680,0.334000,0.555377
681,0.288000,0.543191
682,0.302000,0.550269
683,0.360000,0.588558
684,0.332000,0.579462
685,0.340000,0.596992
686,0.331000,0.556272
687,0.319000,0.552484
688,0.319000,0.561461
689,0.318000,0.564691
690,0.318000,0.568222
691,0.354000,0.605544
692,0.312000,0.540977
693,0.333000,0.555077
694,0.344000,0.579365
695,0.338000,0.575983
696,0.360000,0.596992
697,0.357000,0.601291
698,0.358000,0.588078
699,0.334000,0.578311
700,0.321000,0.565649
701,0.329000,0.561034
702,0.337000,0.565182
703,0.340000,0.586856
704,0.324000,0.563049
705,0.337000,0.584321
706,0.348000,0.578702
707,0.334000,0.581759
708,0.300000,0.529150
709,0.298000,0.550632
710,0.299000,0.556416
711,0.325000,0.550795
712,0.354000,0.566290
